tweet_id,image_id,text_info,text_info_conf,image_info,image_info_conf,text_human,text_human_conf,image_human,image_human_conf,image_damage,image_damage_conf,tweet_text,image_url,image_path
917791044158185473,917791044158185473_0,informative,1.0,informative,0.6766,other_relevant_information,1.0,other_relevant_information,0.6766,,,RT @Gizmodo: Wildfires raging through Northern California are terrifying https://t.co/dI73RFzX2i https://t.co/k4KnvIimsU,http://pbs.twimg.com/media/DLyi_WYVYAApwNg.jpg,data_image/california_wildfires/10_10_2017/917791044158185473_0.jpg
917791130590183424,917791130590183424_0,informative,1.0,informative,0.6667,infrastructure_and_utility_damage,1.0,affected_individuals,0.6667,,,PHOTOS: Deadly wildfires rage in California https://t.co/td9xT3vXOL https://t.co/OimwAncLew,http://pbs.twimg.com/media/DLymKm9UMAAu0qw.jpg,data_image/california_wildfires/10_10_2017/917791130590183424_0.jpg
917791291823591425,917791291823591425_0,informative,0.6813,informative,1.0,other_relevant_information,0.6813,infrastructure_and_utility_damage,1.0,severe_damage,1.0,"RT @Cal_OES: PLS SHARE: Weâ€™re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",http://pbs.twimg.com/media/DLudaaZV4AAjT7x.jpg,data_image/california_wildfires/10_10_2017/917791291823591425_0.jpg
917791291823591425,917791291823591425_1,informative,0.6813,not_informative,1.0,other_relevant_information,0.6813,not_humanitarian,1.0,,,"RT @Cal_OES: PLS SHARE: Weâ€™re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax",http://pbs.twimg.com/media/DLudaZXUMAABAEZ.jpg,data_image/california_wildfires/10_10_2017/917791291823591425_1.jpg
917792092100988929,917792092100988929_0,informative,0.6727,informative,0.6612,other_relevant_information,0.6727,infrastructure_and_utility_damage,0.6612,severe_damage,1.0,RT @TIME: California's raging wildfires as you've never seen them before https://t.co/OksQOZ2LHH https://t.co/oHTMbrM2Jx,http://pbs.twimg.com/media/DLwNe-NXUAE0XCw.jpg,data_image/california_wildfires/10_10_2017/917792092100988929_0.jpg
917792147700465664,917792147700465664_0,informative,0.7143,informative,1.0,other_relevant_information,0.7143,infrastructure_and_utility_damage,1.0,severe_damage,1.0,Wildfires Threaten Californiaâ€™s First Legal Cannabis Harvest https://t.co/BSuAdfwN62 https://t.co/wNqfLrNmTp,http://pbs.twimg.com/media/DLynF2KUEAAqCYD.jpg,data_image/california_wildfires/10_10_2017/917792147700465664_0.jpg
917792930315821057,917792930315821057_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,infrastructure_and_utility_damage,1.0,severe_damage,1.0,Mass Evacuations in California as Wildfires Kill at Least 10 https://t.co/gyoKFWZuMB #CaliforniaWildfires https://t.co/KEFtjITetK,http://pbs.twimg.com/media/DLym3rJW0AAv4N_.jpg,data_image/california_wildfires/10_10_2017/917792930315821057_0.jpg
917793137925459968,917793137925459968_0,informative,1.0,informative,1.0,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,1.0,severe_damage,1.0,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,http://pbs.twimg.com/media/DLtgmEPXUAEo1LV.jpg,data_image/california_wildfires/10_10_2017/917793137925459968_0.jpg
917793137925459968,917793137925459968_1,informative,1.0,informative,0.6538,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,0.6538,severe_damage,1.0,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,http://pbs.twimg.com/media/DLtgmEPXkAAvOdi.jpg,data_image/california_wildfires/10_10_2017/917793137925459968_1.jpg
917793137925459968,917793137925459968_2,informative,1.0,informative,1.0,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.6434,RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr,http://pbs.twimg.com/media/DLtgmF9X0AASfbh.jpg,data_image/california_wildfires/10_10_2017/917793137925459968_2.jpg
917793158251077632,917793158251077632_0,informative,0.6575,not_informative,1.0,infrastructure_and_utility_damage,0.6575,not_humanitarian,1.0,,,"RT @FoxNews: Southern California fire shrouds Disneyland Anaheim in dramatic, smoky skies https://t.co/nNxpY2kSmS https://t.co/6ripQFkIVh",http://pbs.twimg.com/media/DLxhfp2XUAE0SHp.jpg,data_image/california_wildfires/10_10_2017/917793158251077632_0.jpg
917793736918216706,917793736918216706_0,not_informative,0.6535,not_informative,1.0,not_humanitarian,0.6535,not_humanitarian,1.0,,,California wildfire. á½¡4 https://t.co/a8oD5rkDdI,http://pbs.twimg.com/media/DLyoiI0X0AAsw1h.jpg,data_image/california_wildfires/10_10_2017/917793736918216706_0.jpg
917793881533571073,917793881533571073_0,informative,1.0,informative,0.5891,injured_or_dead_people,1.0,vehicle_damage,0.5891,,,Wildfires Still Burn in Northern California; 11 Are Dead https://t.co/8rx6aoC5Ix #nyt https://t.co/UtY33zQTES,http://pbs.twimg.com/media/DLyoqzFUMAAvT9K.jpg,data_image/california_wildfires/10_10_2017/917793881533571073_0.jpg
917794024173563904,917794024173563904_0,informative,0.6792,informative,0.6814,injured_or_dead_people,0.6792,injured_or_dead_people,0.6814,,,"Henry Cejudo suffers burns, loses gold medal in California wildfire â€” https://t.co/GkuLc60ZWl https://t.co/0gRZgSK4LU",http://pbs.twimg.com/media/DLyozN6WkAIAIQr.jpg,data_image/california_wildfires/10_10_2017/917794024173563904_0.jpg
917794232160661505,917794232160661505_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.6779,At Least 11 Dead and 100 Missing as Wildfires Rage Across Northern California - Damage and death toll rises as ... https://t.co/r9xiSn2IcK,http://pbs.twimg.com/media/DLyo_VnXUAAbIMU.jpg,data_image/california_wildfires/10_10_2017/917794232160661505_0.jpg
917794360581869569,917794360581869569_0,informative,1.0,informative,0.6714,injured_or_dead_people,1.0,infrastructure_and_utility_damage,0.6714,severe_damage,0.7067,Southern California wildfires continue to rage as death toll rises to 11 https://t.co/idIRZsGZvX https://t.co/3zbQucj1UY,http://pbs.twimg.com/media/DLynVDYVoAABH85.jpg,data_image/california_wildfires/10_10_2017/917794360581869569_0.jpg
917794580728295424,917794580728295424_0,informative,1.0,informative,1.0,missing_or_found_people,1.0,infrastructure_and_utility_damage,1.0,severe_damage,1.0,More than 100 missing persons reports made in CaliforniaÂ wildfires https://t.co/614UWl30MO https://t.co/CBuNhzQ5xf,http://pbs.twimg.com/media/DLypTmlVwAAVjFY.jpg,data_image/california_wildfires/10_10_2017/917794580728295424_0.jpg
917794892113498113,917794892113498113_0,informative,0.6744,informative,1.0,injured_or_dead_people,0.6744,infrastructure_and_utility_damage,1.0,severe_damage,1.0,"RT @News12BX: California wildfires kill 10, destroy 1,500 buildings https://t.co/cKLrLVtXMe https://t.co/o1CGcHS57o",http://pbs.twimg.com/media/DLxQQO4VwAAh8Wi.jpg,data_image/california_wildfires/10_10_2017/917794892113498113_0.jpg
917795098523512962,917795098523512962_0,informative,1.0,informative,0.8061,other_relevant_information,1.0,other_relevant_information,0.8061,,,RT @R5_Fire_News: California large wildfire activity for October 10 #cawildfires #cafires https://t.co/Z0wWjwv42s,http://pbs.twimg.com/media/DLyWOWNUQAAnt7-.jpg,data_image/california_wildfires/10_10_2017/917795098523512962_0.jpg
917795236595863552,917795236595863552_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.6965,"11 dead, thousands homeless as wildfires torch California wine country https://t.co/n4OrOaOgEV #Heatwave #Wildfires https://t.co/H1EmUrnzjF",http://pbs.twimg.com/media/DLyp50fW0AAsMKa.jpg,data_image/california_wildfires/10_10_2017/917795236595863552_0.jpg
917796280377602048,917796280377602048_0,informative,1.0,informative,0.6897,injured_or_dead_people,1.0,rescue_volunteering_or_donation_effort,0.6897,,,Thousands flee as wildfires ravage northern California; 10 killed https://t.co/d3S3rVIQxV https://t.co/Y9UpznWXK0,http://pbs.twimg.com/media/DLyq2ezV4AAUK2o.jpg,data_image/california_wildfires/10_10_2017/917796280377602048_0.jpg
917796307191951360,917796307191951360_0,informative,1.0,informative,1.0,other_relevant_information,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.411,#breakingnews #news Southern California Wildfire Remains Active - https://t.co/j2oqFz9qZD https://t.co/X4OTZgvTZl,http://pbs.twimg.com/media/DLyq4IwXUAEa30E.jpg,data_image/california_wildfires/10_10_2017/917796307191951360_0.jpg
917796883610820608,917796883610820608_0,informative,1.0,informative,0.672,other_relevant_information,1.0,infrastructure_and_utility_damage,0.672,severe_damage,1.0,A quick rundown of what you need to know about the harrowing California wildfires https://t.co/iUsphXwGJM https://t.co/AxtLl0fNO9,http://pbs.twimg.com/media/DLyoXNMVoAYsZua.jpg,data_image/california_wildfires/10_10_2017/917796883610820608_0.jpg
917796940900982786,917796940900982786_0,informative,1.0,informative,1.0,rescue_volunteering_or_donation_effort,1.0,vehicle_damage,1.0,,,How to help Napa fire victims: 8 things you can do for Californiaâ€™s Wine Country right now https://t.co/bydGBffp3I https://t.co/UCS3FuRAWc,http://pbs.twimg.com/media/DLyrc-mXcAEoYWD.jpg,data_image/california_wildfires/10_10_2017/917796940900982786_0.jpg
917797601763889160,917797601763889160_0,informative,1.0,informative,0.7498,other_relevant_information,1.0,other_relevant_information,0.7498,,,From #ScienceNow - Wildfires Running Amok in California https://t.co/En6FOYnFRz #NASA #wildfires https://t.co/POBCpjD5CT,http://pbs.twimg.com/media/DLysC69X0AE9Rul.jpg,data_image/california_wildfires/10_10_2017/917797601763889160_0.jpg
917797763282214913,917797763282214913_0,informative,1.0,informative,1.0,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,1.0,severe_damage,0.6471,On today's PNS newscast: deadly wildfires ravage Northern California. Listen now: https://t.co/wgmKAIWUiI https://t.co/BApQhkb51r,http://pbs.twimg.com/media/DLysM6bUEAUV-2v.jpg,data_image/california_wildfires/10_10_2017/917797763282214913_0.jpg
917800657796595715,917800657796595715_0,informative,1.0,informative,0.6568,rescue_volunteering_or_donation_effort,1.0,infrastructure_and_utility_damage,0.6568,severe_damage,0.6798,Save Mart Donating To #California Fire Victims https://t.co/RxWh4z76r3 #Bakersfield á½0 https://t.co/me9yzYd5Bq,http://pbs.twimg.com/media/DLyu1VhX0AEIjKe.jpg,data_image/california_wildfires/10_10_2017/917800657796595715_0.jpg
917803185317859329,917803185317859329_0,informative,0.6629,informative,0.6829,other_relevant_information,0.6629,other_relevant_information,0.6829,,,I think Event: Wildfire has occurred in California Tue Oct 10 12:25:03 2017 CDT https://t.co/zAy18tH5mj,http://pbs.twimg.com/media/DLyxIceWkAALt_7.jpg,data_image/california_wildfires/10_10_2017/917803185317859329_0.jpg
917803284936589313,917803284936589313_0,informative,1.0,informative,1.0,injured_or_dead_people,1.0,vehicle_damage,1.0,,,"RT @ABC: California wildfire outbreak kills at least 11, among most deadly in state history: https://t.co/bYpu9NM6Ye https://t.co/2mPemtcbcq",http://pbs.twimg.com/media/DLxVnvfWsAAzdy8.jpg,data_image/california_wildfires/10_10_2017/917803284936589313_0.jpg
917803905681121280,917803905681121280_0,informative,0.6718,informative,0.6873,other_relevant_information,0.6718,vehicle_damage,0.6873,,,RT @ArtemR: The headline photo... so surreal. https://t.co/uRviBMNrIa #santarosafire https://t.co/VMl3CH6KMR,http://pbs.twimg.com/media/DLyv7rtV4AASzcb.jpg,data_image/california_wildfires/10_10_2017/917803905681121280_0.jpg
917804456422473734,917804456422473734_0,informative,0.658,informative,1.0,other_relevant_information,0.658,infrastructure_and_utility_damage,1.0,severe_damage,1.0,#California schools call off all sports because of rising smoke and ash from #CanyonFire2 https://t.co/ORXsOxqCbt https://t.co/u4MHO7hjeZ,http://pbs.twimg.com/media/DLyySWBUMAAZ9Wr.jpg,data_image/california_wildfires/10_10_2017/917804456422473734_0.jpg
917804481970102272,917804481970102272_0,informative,1.0,not_informative,1.0,other_relevant_information,1.0,not_humanitarian,1.0,,,RT @GrantJKidney: Divine judgement? Deadly California wildfires can be seen from space. á½¢E https://t.co/eFB1ffIlGb,http://pbs.twimg.com/media/DLx_SG1X0AI6_t7.jpg,data_image/california_wildfires/10_10_2017/917804481970102272_0.jpg
917804966823129093,917804966823129093_0,informative,0.7643,not_informative,0.6694,other_relevant_information,0.7643,not_humanitarian,0.6694,,,NASA satellites capture breadth of Northern California wildfires https://t.co/jS8kmKxdRD @sdut https://t.co/SPBqnPAG3H,http://pbs.twimg.com/media/DLyyvIfUEAAQ_fz.jpg,data_image/california_wildfires/10_10_2017/917804966823129093_0.jpg
917805148600012800,917805148600012800_0,informative,0.6716,informative,0.6404,other_relevant_information,0.6716,rescue_volunteering_or_donation_effort,0.6404,,,RT @CurbedSF: How to help victims of the Northern California wildfire. https://t.co/A9JNNifssX https://t.co/RSr0s2ylaF,http://pbs.twimg.com/media/DLyxE0VXcAEulap.jpg,data_image/california_wildfires/10_10_2017/917805148600012800_0.jpg
917805494504443904,917805494504443904_0,informative,0.6639,not_informative,0.6509,other_relevant_information,0.6639,not_humanitarian,0.6509,,,Major disaster declaration approved for the state of #California due to #wildfires. https://t.co/1qwnx2w70x,http://pbs.twimg.com/media/DLyzOpTX0AAkn0F.jpg,data_image/california_wildfires/10_10_2017/917805494504443904_0.jpg
917806204012978176,917806204012978176_0,informative,1.0,not_informative,1.0,injured_or_dead_people,1.0,not_humanitarian,1.0,,,"RT @Reuters: BREAKING: Ten people confirmed dead from Northern California wildfires, says state agency spokesman https://t.co/2ChrnJAccp",http://pbs.twimg.com/media/DLvHimQVYAAVxgd.jpg,data_image/california_wildfires/10_10_2017/917806204012978176_0.jpg
917807529479901184,917807529479901184_0,informative,0.6667,informative,0.7587,rescue_volunteering_or_donation_effort,0.6667,infrastructure_and_utility_damage,0.7587,severe_damage,1.0,Fire crews fighting deadly California blazes welcome cool fog https://t.co/PCkTWKuuy6 https://t.co/FRp3buTGkH,http://pbs.twimg.com/media/DLy1FQvVAAEt3QD.jpg,data_image/california_wildfires/10_10_2017/917807529479901184_0.jpg
917809119310041089,917809119310041089_0,informative,1.0,informative,0.7501,rescue_volunteering_or_donation_effort,1.0,rescue_volunteering_or_donation_effort,0.7501,,,RT @TPM: Hundreds more firefighters deploy to battle deadly wildfires in California https://t.co/tZAuxT3Mx7 https://t.co/skuo4tHrWo,http://pbs.twimg.com/media/DLy1gJRW4AALpZa.jpg,data_image/california_wildfires/10_10_2017/917809119310041089_0.jpg
917810972479381504,917810972479381504_0,informative,0.6664,informative,0.6964,infrastructure_and_utility_damage,0.6664,infrastructure_and_utility_damage,0.6964,severe_damage,1.0,Deadly wildfires threaten thousands of acres of pot farms in California https://t.co/0L8vo60wL0 https://t.co/gODTxZcE4t,http://pbs.twimg.com/media/DLy4NuMX0AAtUT7.jpg,data_image/california_wildfires/10_10_2017/917810972479381504_0.jpg
917811151320338433,917811151320338433_0,informative,0.3414,informative,1.0,infrastructure_and_utility_damage,0.3414,infrastructure_and_utility_damage,1.0,severe_damage,1.0,RT @VABVOX: #California is on fire &amp; no one except the people losing everything seem to care. https://t.co/rR87UUrhnd,http://pbs.twimg.com/media/DLuXxTnWAAIqbqX.jpg,data_image/california_wildfires/10_10_2017/917811151320338433_0.jpg
917811158282883073,917811158282883073_0,informative,1.0,not_informative,0.3666,other_relevant_information,1.0,not_humanitarian,0.3666,,,"California is on fire, but this is the most important story on CNN right now. https://t.co/wZr0IkazYB",http://pbs.twimg.com/media/DLy4UpfWkAAbSAn.jpg,data_image/california_wildfires/10_10_2017/917811158282883073_0.jpg
917814656626020352,917814656626020352_0,informative,1.0,informative,1.0,other_relevant_information,1.0,infrastructure_and_utility_damage,1.0,severe_damage,1.0,"â€˜Dice was really loadedâ€™ for wildfires exploding in California, experts say. https://t.co/zTMGYsT372 https://t.co/uxZlF3iKPT",http://pbs.twimg.com/media/DLy5BrEXkAA-FHw.jpg,data_image/california_wildfires/10_10_2017/917814656626020352_0.jpg
917815040962695168,917815040962695168_0,informative,1.0,informative,1.0,infrastructure_and_utility_damage,1.0,rescue_volunteering_or_donation_effort,1.0,,,"RT @TheAtlantic: Photos of California's destructive wildfires, via @TheAtlPhoto: https://t.co/mzYsQALqrl https://t.co/bWvczIJa2Z",http://pbs.twimg.com/media/DLy7qUaWsAAQYMt.jpg,data_image/california_wildfires/10_10_2017/917815040962695168_0.jpg
917815040962695168,917815040962695168_1,informative,1.0,informative,0.9303,infrastructure_and_utility_damage,1.0,vehicle_damage,0.9303,,,"RT @TheAtlantic: Photos of California's destructive wildfires, via @TheAtlPhoto: https://t.co/mzYsQALqrl https://t.co/bWvczIJa2Z",http://pbs.twimg.com/media/DLy7qk8WsAI8aOA.jpg,data_image/california_wildfires/10_10_2017/917815040962695168_1.jpg
917815040962695168,917815040962695168_2,informative,1.0,informative,1.0,infrastructure_and_utility_damage,1.0,infrastructure_and_utility_damage,1.0,mild_damage,0.4316,"RT @TheAtlantic: Photos of California's destructive wildfires, via @TheAtlPhoto: https://t.co/mzYsQALqrl https://t.co/bWvczIJa2Z",http://pbs.twimg.com/media/DLy7q0EX0AE9uR9.jpg,data_image/california_wildfires/10_10_2017/917815040962695168_2.jpg
917815168825995264,917815168825995264_0,informative,0.6855,informative,1.0,other_relevant_information,0.6855,vehicle_damage,1.0,,,RT @monizcardozo: California wildfires: Residents find devastation in Santa Rosa https://t.co/3fuGJ5lW3t https://t.co/hNuXFATeh8,http://pbs.twimg.com/media/DLy5u7IVwAAaO3e.jpg,data_image/california_wildfires/10_10_2017/917815168825995264_0.jpg
917816344061542401,917816344061542401_0,informative,1.0,informative,0.6167,other_relevant_information,1.0,other_relevant_information,0.6167,,,Watch California's wine-country #wildfires spread in these incredible new images from space https://t.co/etuVzJYbjE https://t.co/GsTzbmZsFp,http://pbs.twimg.com/media/DLy9GYPWsAI4b48.jpg,data_image/california_wildfires/10_10_2017/917816344061542401_0.jpg
917817013409583106,917817013409583106_0,informative,0.6667,informative,1.0,infrastructure_and_utility_damage,0.6667,infrastructure_and_utility_damage,1.0,severe_damage,1.0,Wildfires sweep through California wine country https://t.co/I0dE7JLM2t https://t.co/7tq5ayDpxx,http://pbs.twimg.com/media/DLy9tVsXcAMIVpG.jpg,data_image/california_wildfires/10_10_2017/917817013409583106_0.jpg
917817114471346177,917817114471346177_0,informative,1.0,informative,1.0,other_relevant_information,1.0,vehicle_damage,1.0,,,The fire ravaging parts of California wine country threatens the regionâ€™s $1 billionâ€¦ https://t.co/Z1EGaUFVRH https://t.co/t9titXkO7W,http://pbs.twimg.com/media/DLy9zQjVYAA3Uzz.jpg,data_image/california_wildfires/10_10_2017/917817114471346177_0.jpg
